geo
"[40.6830342, -73.9656313]"
"[40.7142, -74.0064]"
"[40.3350465, -74.0637291]"
"[42.014321, -71.23046]"
"[26.461373, -80.072571]"
"[28.5335, -81.3758]"
"[32.8073, -117.1324]"
"[42.3578, -71.0617]"
"[35.908878, -78.981445]"
"[43.64326921, -79.3794305]"
"[36.782464, -76.019589]"
"[40.75938, -73.97116]"
"[45.5220648, -122.6757228]"
"[32.7833, -96.8]"
"[32.3512601, -95.3010624]"
"[32.7642378, -117.1534333]"
"[35.625556, -78.328611]"
"[45.81371, -108.4105]"
"[29.7506624, -98.7047606]"
"[32.250964, -111.004149]"
"[42.95941, -85.67299]"
"[29.78501251, -95.38792274]"
"[28.5453, -81.3759]"
"[34.0522, -118.243]"
"[37.5383, -77.4615]"
"[43.18333333, -79.23333333]"
"[45.5106198, -122.4365117]"
"[37.78272, -122.40803]"
"[40.7142, -74.0064]"
"[38.991194, -77.038173]"
"[36.0353621, -114.9963374]"
"[37.9474772, -122.3313992]"
"[39.70076809, -104.80832517]"
"[36.1699412, -115.1398296]"
"[44.840798, -93.2982799]"
"[45.4206749, -122.6706498]"
"[41.7633, -88.29]"
"[37.3800549, -121.9016646]"
"[40.7142, -74.0064]"
"[36.1061525, -115.1744604]"
"[41.941031, -87.765759]"
"[29.7629, -95.3832]"
"[40.4414, -79.9773]"
"[29.755578, -95.36531]"
"[29.9022, -90.0294]"
"[33.43700158, -111.94393305]"
"[38.8338816, -104.8213634]"
"[41.8811951, -87.6744087]"
"[40.76916667, -73.96555556]"
"[34.0522, -118.243]"
"[40.69635543, -74.26980972]"
"[43.48530526, -80.57531485]"
"[42.73, -73.69]"
"[38.7593535, -121.29396723]"
"[33.46, -84.16]"
"[47.2631, -122.456]"
"[39.73992005, -104.98500824]"
"[37.5497, -121.9621]"
"[41.62374255, -73.39728934]"
"[28.370948, -81.51629]"
"[34.19634987, -118.54842239]"
"[42.850577, -90.72208607]"
"[28.40440678, -81.57966543]"
"[34.0522, -118.243]"
"[33.84807, -84.35957]"
"[30.48136524, -97.65876359]"
"[34.361944, -89.534167]"
"[33.77, -84.23]"
"[40.666301, -73.801597]"
"[40.666301, -73.801597]"
"[40.4313474, -80.0505398]"
"[41.364507, -72.10141]"
"[40.745278, -74.002222]"
"[36.01385856, -78.89391616]"
"[41.163648, -73.369388]"
"[42.64010719, -71.3201791]"
"[36.24951, -86.82556]"
"[45.4797, -122.81]"
"[36.0427856, -95.9627762]"
"[40.76806, -73.99602]"
"[34.0304, -118.779]"
"[43.1370583, -70.9327164]"
"[42.009436, -71.493615]"
"[34.04759, -117.3077]"
"[40.0455917, -86.0085955]"
"[39.2438, -94.50117]"
"[33.9166805, -117.9000604]"
"[39.24318, -94.50725]"
"[40.7142, -74.0064]"
"[29.7629, -95.3832]"
"[36.76464648, -76.02043291]"
"[40.75873044, -73.97910186]"
"[40.67, -74.12]"
"[41.8937752, -72.4605221]"
"[40.72396, -73.99928]"
"[34.0508369, -118.263032]"
"[42.516845, -70.898503]"
"[29.9728, -90.059]"
"[32.7206724, -117.14568961]"
"[36.8500886, -119.7838397]"
"[34.2694474, -118.781482]"
"[34.1722, -118.378]"
"[34.1561, -118.132]"
"[39.0128, -94.7658]"
"[40.44021783, -80.00430169]"
"[40.8424, -73.8893]"
"[39.7063, -105.103]"
"[37.4192, -122.0574]"
"[46.52043, -84.3525499]"
"[45.52, -122.682]"
"[42.4701805, -83.3917694]"
"[39.7459, -104.993]"
"[47.7336165, -122.14674634]"
"[42.013807, -71.23014]"
"[28.4525396, -81.477371]"
"[30.48233167, -97.65793623]"
"[40.4017, -111.859]"
"[37.4192, -122.0574]"
"[32.7715, -117.023]"
"[36.09901299, -115.1290369]"
"[34.09444444, -118.2675]"
"[38.5931, -90.5497]"
"[38.4382, -121.382]"
"[32.76924, -117.03628]"
"[40.7127837, -74.0059413]"
"[34.0522342, -118.2436849]"
"[34.1466467, -118.8073729]"
"[41.617268, -73.9176149]"
"[35.2626635, -77.5816353]"
"[42.2397874, -83.7668615]"
"[37.4418834, -122.1430195]"
"[40.73109, -73.44595]"
"[38.8425, -77.4426]"
"[40.7142, -74.0064]"
"[34.08115357, -118.41395706]"
"[42.624, -70.6755]"
"[33.61102386, -114.5714551]"
"[33.62916233, -112.07993595]"
"[41.4333, -74.1667]"
"[33.68925, -84.34755]"
"[38.03119322, -78.51370427]"
"[39.32927405, -76.61965634]"
"[40.74604004, -73.84678324]"
"[30.16861111, -81.70861111]"
"[30.2667858, -97.76804244]"
"[45.510103, -122.674947]"
"[37.3813444, -122.1802812]"
"[47.810058, -122.388246]"
"[32.7602435, -117.14598]"
"[38.87, -76.98]"
"[44.408412, -79.7216282]"
"[35.899722, -79.043889]"
"[34.0522342, -118.2436849]"
"[40.7590894, -73.9799956]"
"[39.4624174, -119.7828535]"
"[47.5382024, -122.1665213]"
"[33.1011714, -117.3105542]"
"[47.6587802, -117.4260465]"
"[24.79493134, -107.39618526]"
"[36.8345, -76.0872]"
"[39.24222222, -121.05444444]"
"[37.77755, -122.5026]"
"[30.47429371, -81.60663225]"
"[34.53555556, -92.765]"
"[32.62449348, -115.45103549]"
"[47.6694, -122.124]"
"[44.2841, -88.3136]"
"[41.74, -70.59]"
"[33.77348479, -84.66334049]"
"[37.78895, -122.40834]"
"[34.0207895, -118.28758739]"
"[34.6867, -119.3559]"
"[33.96, -84.03]"
"[29.93808292, -95.33050433]"
"[31.1168297, -97.725376]"
"[37.36883, -122.0363496]"
"[33.6147846, -117.637617]"
"[32.715738, -117.1610838]"
"[45.61428, -122.6773]"
"[33.9022669, -118.3835463]"
"[33.23693, -87.57184]"
"[41.19595109, -73.96011949]"
"[40.8150951, -74.0747794]"
"[44.2717717, -76.71495238]"
"[34.26522, -118.52239]"
"[35.9729, -83.9422]"
"[37.31608107, -121.90253567]"
"[39.0013205, -76.9880372]"
"[40.77005138, -73.95507399]"
"[40.42752773, -111.87513408]"
"[40.76102, -73.98526]"
"[43.18333333, -79.23333333]"
"[25.68076807, -100.28798048]"
"[33.3986, -91.0484]"
"[38.991168, -77.03822]"
"[35.7389676, -97.4374872]"
"[41.5184032, -74.01961218]"
"[34.0522, -118.243]"
"[34.09605961, -117.61737948]"
"[39.7392358, -104.990251]"
"[36.1699412, -115.1398296]"
"[33.6781514, -96.8472147]"
"[37.7899, -122.397]"
"[33.9022367, -118.081733]"
"[47.2528768, -122.4442906]"
"[33.5810585, -117.2374878]"
"[39.6079683, -119.2518349]"
"[37.4418834, -122.1430195]"
"[42.380794, -71.098113]"
"[40.68290947, -73.97567678]"
"[35.63796, -97.48915]"
"[34.3058279, -118.4571974]"
"[32.7761461, -117.1549812]"
"[33.51812065, -101.9933644]"
"[25.7654353, -80.1937268]"
"[32.79782778, -117.24031389]"
"[28.6561049, -81.2035119]"
"[25.6667, -100.3]"
"[37.775, -122.418]"
"[37.998368, -122.151345]"
"[40.715, -73.2977]"
"[28.90066899, -82.5935626]"
"[25.670114, -100.309682]"
"[45.50632, -73.55523]"
"[47.86494, -122.00452]"
"[39.537494, -119.753289]"
"[41.364507, -72.10141]"
"[41.705819, -72.803069]"
"[41.705819, -72.803069]"
"[41.364507, -72.10141]"
"[30.351953, -97.715123]"
"[40.71, -73.54]"
"[42.329777, -83.118731]"
"[44.9281049, -74.891865]"
"[41.50333868, -74.01429176]"
"[33.8206106, -84.25076916]"
"[32.7647903, -117.2266083]"
"[47.11276365, -88.57543703]"
"[38.88937728, -77.04051554]"
"[41.19595109, -73.96011949]"
"[33.6998997, -117.825329]"
"[38.0094981, -90.2178964]"
"[41.8937752, -72.4605221]"
"[38.617127, -121.3282843]"
"[41.70138889, -71.15555556]"
"[40.6538, -74.008102]"
"[40.829399, -73.847999]"
"[40.666599, -73.995201]"
"[40.6538, -74.008102]"
"[40.666599, -73.995201]"
"[40.829399, -73.847999]"
"[25.95762, -80.23856]"
"[39.87812, -74.91998]"
"[43.53906093, -84.31804674]"
"[26.8286, -80.11]"
"[42.19205871, -88.10985477]"
"[30.29017, -97.74484]"
"[45.5230622, -122.6764816]"
"[33.41578, -111.49328]"
"[34.0289, -84.1986]"
"[26.78923, -80.0828499]"
"[32.715738, -117.1610838]"
"[40.74121343, -73.9069739]"
"[34.0348144, -117.5848025]"
"[34.0633443, -117.6508876]"
"[38.232417, -122.6366524]"
"[33.97569835, -117.55791305]"
"[33.501896, -111.921471]"
"[40.759327, -73.966823]"
"[34.0555693, -117.1825381]"
"[33.6028, -117.899]"
"[34.1276016, -118.3466873]"
"[32.80908, -97.21006]"
"[33.9534, -84.5406]"
"[37.5383, -77.4615]"
"[33.77, -118.19]"
"[45.61428, -122.6773]"
"[30.43122277, -88.14063656]"
"[46.59835, -120.50303]"
"[40.7581951, -73.9793416]"
"[27.8274, -97.0722]"
"[33.955464, -83.383245]"
"[42.1976, -83.1926]"
"[40.4419, -86.9124]"
"[30.412, -88.9278]"
"[39.34639894, -76.61994934]"
"[35.7939, -83.5641]"
"[41.68166663, -81.35078592]"
"[38.8965654, -121.0768901]"
"[34.0522342, -118.2436849]"
"[36.0562067, -115.0845124]"
"[38.6184634, -121.4009472]"
"[28.37048278, -81.55187589]"
"[33.64034, -84.4392]"
"[46.5588603, -81.5625]"
"[25.7877, -80.2241]"
"[36.0, -86.0]"
"[40.71687, -74.00872]"
"[37.3382082, -121.8863286]"
"[39.07307161, -84.34130073]"
"[32.7833, -96.8]"
"[29.5925, -98.6136]"
"[40.2551, -76.888]"
"[35.1786648, -113.55147762]"
"[39.8172278, -75.2301909]"
"[38.54971465, -90.41546193]"
"[34.1, -117.65]"
"[29.73158176, -98.07339817]"
"[43.206854, -71.537659]"
"[37.78640256, -122.39900351]"
"[32.9436607, -117.2088167]"
"[33.4207094, -117.6076093]"
"[43.6496318, -79.3756924]"
"[37.1795562, -93.1880083]"
"[34.1367208, -118.6614809]"
"[39.93413, -75.25123]"
"[43.6496318, -79.3756924]"
"[43.6496318, -79.3756924]"
"[33.68925, -84.34755]"
"[40.68761, -73.98973]"
"[42.35675254, -83.07015687]"
"[39.76412109, -86.06132173]"
"[40.5998, -80.2266]"
"[44.63083056, -110.86361111]"
"[28.36680221, -81.5560576]"
"[32.2950088, -106.6292385]"
"[25.79945448, -80.19791685]"
"[43.6496318, -79.3756924]"
"[34.1802, -118.328]"
"[25.79945448, -80.19791685]"
"[47.035964, -122.904799]"
"[34.1802, -118.328]"
"[40.795623, -81.429094]"
"[34.0522342, -118.2436849]"
"[40.743, -73.986]"
"[37.27102199, -76.71151805]"
"[42.014399, -71.230453]"
"[34.72718126, -86.6394565]"
"[33.63032144, -112.37428817]"
"[36.00108176, -80.05756348]"
"[26.3687, -80.1001]"
"[47.035964, -122.904799]"
"[37.5015661, -77.5274938]"
"[39.0429, -76.4475]"
"[31.7902, -106.423]"
"[37.7655642, -122.1657365]"
"[36.7820899, -76.01903]"
"[43.0251549, -88.2430075]"
"[35.9606384, -83.9207392]"
"[33.6411316, -117.9186689]"
"[47.5802366, -122.3356196]"
"[45.0692873, -92.9535994]"
"[45.4288319, -122.753234]"
